,YEAR,MO,DY,PRECTOT,QV2M,PS,TS,KT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,Date
45,1986,1,23,0.0,0.004765999999999999,99.12,15.48,0.74,4.72,7.03,23-1-1986
46,1986,1,24,0.0,0.003256,99.14,13.05,0.73,4.7,6.62,24-1-1986
47,1986,1,24,0.0,0.0033130000000000004,99.07,12.67,0.73,4.7,6.62,24-1-1986
48,1986,1,25,0.0,0.003404,99.11,13.21,0.65,4.24,7.14,25-1-1986
49,1986,1,25,0.0,0.003404,99.06,12.93,0.65,4.24,7.14,25-1-1986
50,1986,1,26,0.0,0.004083,99.16,14.24,0.68,4.44,6.84,26-1-1986
51,1986,1,26,0.0,0.0039570000000000004,99.11,14.06,0.68,4.44,6.84,26-1-1986
52,1986,1,27,0.01,0.004038,99.26,14.54,0.63,4.17,7.42,27-1-1986
53,1986,1,27,0.0,0.0038439999999999998,99.23,13.85,0.63,4.17,7.42,27-1-1986
54,1986,1,28,0.02,0.004952000000000001,99.17,14.54,0.46,3.06,8.73,28-1-1986
55,1986,1,28,0.02,0.004763,99.14,14.2,0.46,3.06,8.73,28-1-1986
56,1986,1,29,25.06,0.0077480000000000005,99.1,14.52,0.61,4.06,7.85,29-1-1986
57,1986,1,29,25.54,0.007156999999999999,99.09,13.3,0.61,4.06,7.85,29-1-1986
58,1986,1,30,1.27,0.007175,98.97,15.41,0.61,4.12,7.73,30-1-1986
59,1986,1,30,0.59,0.006894,98.93,14.72,0.61,4.12,7.73,30-1-1986
60,1986,1,31,0.0,0.004608,98.9,13.38,0.76,5.11,6.59,31-1-1986
61,1986,1,31,0.0,0.004772,98.83,13.35,0.76,5.11,6.59,31-1-1986
62,1986,2,1,0.06,0.0035840000000000004,98.82,12.25,0.7,4.78,6.47,1-2-1986
63,1986,2,1,0.16,0.003831,98.75,12.2,0.7,4.78,6.47,1-2-1986
64,1986,2,2,0.0,0.003343,98.95,12.71,0.6,4.1,7.14,2-2-1986
65,1986,2,2,0.0,0.0033590000000000004,98.89,12.57,0.6,4.1,7.14,2-2-1986
66,1986,2,3,0.0,0.0033469999999999997,98.96,14.23,0.37,2.57,8.44,3-2-1986
67,1986,2,3,0.0,0.0033539999999999998,98.91,13.64,0.37,2.57,8.44,3-2-1986
68,1986,2,4,0.0,0.003932,98.96,15.22,0.62,4.3,7.03,4-2-1986
69,1986,2,4,0.0,0.003782,98.91,14.97,0.62,4.3,7.03,4-2-1986
70,1986,2,5,0.1,0.004436,98.97,16.07,0.61,4.25,6.88,5-2-1986
71,1986,2,5,0.04,0.004226,98.92,15.63,0.61,4.25,6.88,5-2-1986
72,1986,2,6,0.0,0.0042840000000000005,99.05,14.6,0.65,4.56,8.21,6-2-1986
73,1986,2,6,0.0,0.004452,98.99,14.43,0.65,4.56,8.21,6-2-1986
74,1986,2,7,0.0,0.004188,99.03,15.07,0.76,5.4,6.66,7-2-1986
75,1986,2,7,0.0,0.00428,98.97,15.27,0.76,5.4,6.66,7-2-1986
76,1986,2,8,0.0,0.004293,99.1,15.56,0.77,5.48,7.27,8-2-1986
77,1986,2,8,0.0,0.004144,99.07,15.08,0.77,5.48,7.27,8-2-1986
78,1986,2,9,2.77,0.007143000000000001,99.15,13.66,0.14,0.98,8.27,9-2-1986
79,1986,2,9,2.64,0.006599,99.13,12.75,0.14,0.98,8.27,9-2-1986
80,1986,2,10,19.18,0.009661,98.97,15.43,0.28,2.03,8.66,10-2-1986
81,1986,2,10,21.9,0.009506,98.95,14.4,0.28,2.03,8.66,10-2-1986
82,1986,2,11,4.97,0.008661,99.22,14.26,0.23,1.69,8.32,11-2-1986
83,1986,2,11,5.53,0.008643000000000001,99.19,13.79,0.23,1.69,8.32,11-2-1986
84,1986,2,12,0.0,0.007941,98.97,16.16,0.35,2.56,8.16,12-2-1986
85,1986,2,12,0.0,0.007838,98.93,16.16,0.35,2.56,8.16,12-2-1986
86,1986,2,13,0.35,0.00777,98.95,17.43,0.53,3.94,8.23,13-2-1986
87,1986,2,13,0.51,0.00777,98.91,17.34,0.53,3.94,8.23,13-2-1986
88,1986,2,14,0.83,0.008051,98.98,15.52,0.58,4.28,8.63,14-2-1986
89,1986,2,14,1.35,0.008088,98.92,15.42,0.58,4.28,8.63,14-2-1986
90,1986,2,15,0.08,0.0054670000000000005,99.03,15.36,0.68,5.09,6.83,15-2-1986
91,1986,2,15,0.7,0.005538,98.97,15.02,0.68,5.09,6.83,15-2-1986
92,1986,2,16,0.93,0.004365,98.91,13.76,0.77,5.84,6.67,16-2-1986
93,1986,2,16,0.9,0.004273,98.84,13.49,0.77,5.84,6.67,16-2-1986
94,1986,2,17,0.0,0.004378,98.97,15.12,0.77,5.84,6.7,17-2-1986
95,1986,2,17,0.0,0.004321,98.91,14.67,0.77,5.84,6.7,17-2-1986
96,1986,2,18,0.0,0.005167000000000001,99.08,17.27,0.75,5.76,7.19,18-2-1986
97,1986,2,18,0.0,0.005171,99.04,16.99,0.75,5.76,7.19,18-2-1986
98,1986,2,19,0.0,0.005221,99.05,16.65,0.77,5.96,7.11,19-2-1986
99,1986,2,19,0.0,0.005194,98.99,16.46,0.77,5.96,7.11,19-2-1986
100,1986,2,20,0.0,0.005231,98.89,18.2,0.45,3.47,9.05,20-2-1986
101,1986,2,20,0.0,0.005047,98.85,17.81,0.45,3.47,9.05,20-2-1986
102,1986,2,21,0.27,0.006520000000000001,98.83,18.94,0.16,1.25,8.52,21-2-1986
103,1986,2,21,0.59,0.0064459999999999995,98.81,17.91,0.16,1.25,8.52,21-2-1986
104,1986,2,22,0.05,0.0062770000000000005,99.0,16.72,0.61,4.77,7.38,22-2-1986
105,1986,2,22,0.01,0.006375,98.94,16.47,0.61,4.77,7.38,22-2-1986
106,1986,2,23,0.1,0.005220000000000001,98.99,15.66,0.68,5.38,6.72,23-2-1986
107,1986,2,23,0.28,0.005372999999999999,98.92,15.44,0.68,5.38,6.72,23-2-1986
108,1986,2,24,0.0,0.004227000000000001,98.94,15.62,0.73,5.82,7.02,24-2-1986
109,1986,2,24,0.0,0.0043,98.88,15.46,0.73,5.82,7.02,24-2-1986
110,1986,2,25,0.0,0.004019,98.93,15.71,0.77,6.19,6.96,25-2-1986
111,1986,2,25,0.0,0.0041670000000000006,98.86,15.77,0.77,6.19,6.96,25-2-1986
112,1986,2,26,0.0,0.0037689999999999998,98.97,15.25,0.76,6.12,7.16,26-2-1986
113,1986,2,26,0.0,0.003783,98.9,15.35,0.76,6.12,7.16,26-2-1986
114,1986,2,27,0.0,0.0038590000000000005,98.81,16.51,0.78,6.32,6.84,27-2-1986
115,1986,2,27,0.0,0.0038469999999999997,98.75,16.16,0.78,6.32,6.84,27-2-1986
116,1986,2,28,0.0,0.004253,98.77,18.11,0.73,6.01,7.31,28-2-1986
117,1986,2,28,0.0,0.004261,98.71,17.6,0.73,6.01,7.31,28-2-1986
118,1986,3,1,0.0,0.004625,98.84,18.59,0.79,6.47,6.96,1-3-1986
119,1986,3,1,0.0,0.004568,98.78,18.33,0.79,6.47,6.96,1-3-1986
120,1986,3,2,0.0,0.004574,98.98,18.57,0.62,5.17,7.17,2-3-1986
121,1986,3,2,0.0,0.004654999999999999,98.91,18.42,0.62,5.17,7.17,2-3-1986
122,1986,3,3,0.0,0.004229,99.02,18.72,0.6,5.03,7.49,3-3-1986
123,1986,3,3,0.0,0.004219,98.95,18.59,0.6,5.03,7.49,3-3-1986
124,1986,3,4,0.0,0.004636,98.91,20.16,0.53,4.41,8.76,4-3-1986
125,1986,3,4,0.0,0.004688,98.85,20.0,0.53,4.41,8.76,4-3-1986
126,1986,3,5,0.0,0.004897,98.78,20.98,0.69,5.79,7.35,5-3-1986
127,1986,3,5,0.0,0.00495,98.73,20.85,0.69,5.79,7.35,5-3-1986
128,1986,3,6,0.0,0.00513,98.76,21.41,0.73,6.2,8.2,6-3-1986
129,1986,3,6,0.0,0.005208,98.72,21.15,0.73,6.2,8.2,6-3-1986
130,1986,3,7,0.0,0.005651,98.72,22.95,0.76,6.52,7.43,7-3-1986
131,1986,3,7,0.0,0.00558,98.67,22.32,0.76,6.52,7.43,7-3-1986
132,1986,3,8,0.0,0.005187,98.72,22.65,0.72,6.24,7.94,8-3-1986
133,1986,3,8,0.0,0.005023,98.67,22.03,0.72,6.24,7.94,8-3-1986
134,1986,3,9,0.0,0.0061649999999999995,98.69,24.22,0.75,6.54,8.39,9-3-1986
135,1986,3,9,0.0,0.006343,98.64,23.74,0.75,6.54,8.39,9-3-1986
136,1986,3,10,0.0,0.007344,98.5,26.53,0.57,4.98,9.6,10-3-1986
137,1986,3,10,0.0,0.007117,98.46,26.18,0.57,4.98,9.6,10-3-1986
138,1986,3,11,0.0,0.007348,98.39,26.2,0.72,6.31,8.41,11-3-1986
139,1986,3,11,0.0,0.007587000000000001,98.36,25.88,0.72,6.31,8.41,11-3-1986
140,1986,3,12,0.07,0.006846,98.41,24.83,0.58,5.15,8.05,12-3-1986
141,1986,3,12,0.09,0.007259000000000001,98.36,24.65,0.58,5.15,8.05,12-3-1986
142,1986,3,13,0.36,0.006166,98.48,25.04,0.58,5.18,8.7,13-3-1986
143,1986,3,13,1.03,0.006628,98.45,24.22,0.58,5.18,8.7,13-3-1986
144,1986,3,14,0.53,0.006603,98.24,24.84,0.64,5.7,7.94,14-3-1986
145,1986,3,14,0.61,0.006792,98.2,24.55,0.64,5.7,7.94,14-3-1986
146,1986,3,15,0.0,0.005274,98.27,22.23,0.78,6.98,7.21,15-3-1986
147,1986,3,15,0.0,0.005409000000000001,98.22,21.7,0.78,6.98,7.21,15-3-1986
148,1986,3,16,0.68,0.004492,98.47,20.14,0.77,6.99,8.37,16-3-1986
149,1986,3,16,1.75,0.004678,98.41,19.75,0.77,6.99,8.37,16-3-1986
150,1986,3,17,0.0,0.004413,98.47,20.74,0.33,2.96,9.6,17-3-1986
151,1986,3,17,0.0,0.004784,98.45,19.53,0.33,2.96,9.6,17-3-1986
152,1986,3,18,1.58,0.007705,98.25,22.57,0.57,5.16,9.33,18-3-1986
153,1986,3,18,1.33,0.008009,98.25,21.04,0.57,5.16,9.33,18-3-1986
154,1986,3,19,0.08,0.004968,98.36,21.04,0.74,6.81,8.59,19-3-1986
155,1986,3,19,0.9,0.005468,98.31,20.44,0.74,6.81,8.59,19-3-1986
156,1986,3,20,0.99,0.0037020000000000004,98.55,19.27,0.8,7.39,6.66,20-3-1986
157,1986,3,20,1.94,0.00402,98.49,18.75,0.8,7.39,6.66,20-3-1986
158,1986,3,21,0.01,0.003856,98.54,21.15,0.54,4.97,9.21,21-3-1986
159,1986,3,21,0.03,0.004176,98.51,20.29,0.54,4.97,9.21,21-3-1986
160,1986,3,22,0.04,0.00703,98.44,21.2,0.54,5.03,8.72,22-3-1986
161,1986,3,22,0.05,0.007364,98.41,21.26,0.54,5.03,8.72,22-3-1986
162,1986,3,23,0.0,0.006520999999999999,98.44,23.25,0.57,5.35,8.7,23-3-1986
163,1986,3,23,0.06,0.006639,98.4,22.99,0.57,5.35,8.7,23-3-1986
164,1986,3,24,1.17,0.005639,98.61,22.68,0.69,6.48,7.26,24-3-1986
165,1986,3,24,1.31,0.005815,98.56,22.14,0.69,6.48,7.26,24-3-1986
166,1986,3,25,0.0,0.004296,98.8,20.87,0.64,6.07,8.0,25-3-1986
167,1986,3,25,0.0,0.004469,98.73,20.69,0.64,6.07,8.0,25-3-1986
168,1986,3,26,0.0,0.004458,98.92,23.32,0.77,7.34,8.07,26-3-1986
169,1986,3,26,0.0,0.004657,98.86,23.02,0.77,7.34,8.07,26-3-1986
170,1986,3,27,0.0,0.005169,98.71,26.1,0.76,7.28,8.08,27-3-1986
171,1986,3,27,0.0,0.005569,98.64,25.82,0.76,7.28,8.08,27-3-1986
172,1986,3,28,0.0,0.005334,98.35,27.46,0.64,6.12,8.44,28-3-1986
173,1986,3,28,0.0,0.005942,98.3,27.11,0.64,6.12,8.44,28-3-1986
174,1986,3,29,0.0,0.005414,98.18,27.83,0.72,6.96,8.87,29-3-1986
175,1986,3,29,0.0,0.005822,98.14,27.16,0.72,6.96,8.87,29-3-1986
176,1986,3,30,0.0,0.0051600000000000005,98.16,28.44,0.35,3.39,10.26,30-3-1986
177,1986,3,30,0.0,0.005628,98.14,27.67,0.35,3.39,10.26,30-3-1986
178,1986,3,31,0.0,0.004909,98.16,26.5,0.56,5.43,8.71,31-3-1986
179,1986,3,31,0.0,0.00499,98.13,25.98,0.56,5.43,8.71,31-3-1986
180,1986,4,1,1.82,0.00481,98.28,26.16,0.54,5.27,9.3,1-4-1986
181,1986,4,1,2.09,0.005121,98.25,25.58,0.54,5.27,9.3,1-4-1986
182,1986,4,2,0.0,0.003797,98.26,27.36,0.54,5.26,9.35,2-4-1986
183,1986,4,2,0.0,0.00415,98.21,26.57,0.54,5.26,9.35,2-4-1986
184,1986,4,3,0.0,0.0034549999999999997,98.41,26.08,0.71,7.0,7.97,3-4-1986
185,1986,4,3,0.0,0.0038950000000000005,98.36,25.36,0.71,7.0,7.97,3-4-1986
186,1986,4,4,0.63,0.003669,98.65,24.95,0.76,7.5,8.19,4-4-1986
187,1986,4,4,0.64,0.003949,98.61,24.6,0.76,7.5,8.19,4-4-1986
188,1986,4,5,0.0,0.003152,98.68,24.76,0.76,7.58,7.46,5-4-1986
189,1986,4,5,0.0,0.003512,98.62,24.39,0.76,7.58,7.46,5-4-1986
190,1986,4,6,0.0,0.0031420000000000003,98.45,26.98,0.75,7.49,7.65,6-4-1986
191,1986,4,6,0.0,0.003486,98.4,26.31,0.75,7.49,7.65,6-4-1986
